,0
simplified_model_300c,-4746.372632761194
simplified_model_torrent,-4800.981764949653
simplified_model_ilx,-4839.633172287931
simplified_model_galant,-4848.314272025513
simplified_model_terrain,-4861.12110904208
simplified_model_sedona,-4869.192691304999
simplified_model_scion,-4921.703507731127
simplified_model_vue,-4932.159023920935
simplified_model_quest,-4932.50536684744
simplified_model_hhr,-5031.868402300257
simplified_model_aura,-5039.19545741121
simplified_model_lucerne,-5058.862917499127
simplified_model_sebring,-5162.593377637641
simplified_model_320i,-5176.9474747461
simplified_model_caliber,-5182.044345479072
simplified_model_impreza,-5223.11256507325
simplified_model_crosstrek,-5255.042966312475
simplified_model_insight,-5289.660361612767
simplified_model_g6,-5305.585479350765
simplified_model_lacrosse,-5313.759305332137
simplified_model_santa,-5370.663044783672
simplified_model_328xi,-5384.286423648153
simplified_model_commander,-5401.932387186592
simplified_model_murano,-5410.870125711137
simplified_model_mazda6,-5481.494713303636
simplified_model_liberty,-5546.769137923872
simplified_model_328i,-5555.190937766625
simplified_model_ioniq,-5596.217084013179
simplified_model_cooper,-5617.493306996254
simplified_model_mariner,-5622.231879348185
simplified_model_dts,-5643.577820549325
simplified_model_cobalt,-5652.583287760407
simplified_model_mks,-5668.463851848324
simplified_model_124,-5730.322433581759
simplified_model_coupe,-5734.921567390695
simplified_model_nv200,-5742.868565028878
simplified_model_impala,-5767.101427670716
simplified_model_sorento,-5767.759507921746
simplified_model_niro,-5818.89012177702
odometer,-5890.674955790764
simplified_model_cube,-5921.504872981761
simplified_model_legacy,-5924.780915552856
simplified_model_taurus,-5925.085654354908
simplified_model_tucson,-5936.715524830137
simplified_model_corolla,-5953.561757911011
simplified_model_nitro,-6073.209573763204
simplified_model_cc,-6119.71377162447
simplified_model_volt,-6197.429134778725
simplified_model_eclipse,-6253.687113368719
simplified_model_leaf,-6269.388139814703
simplified_model_mazda3,-6394.84671224821
simplified_model_equinox,-6463.155327236381
simplified_model_hr-v,-6485.385456281712
simplified_model_escape,-6518.242287482391
simplified_model_aveo,-6532.6351160581835
simplified_model_tiguan,-6578.241215775171
simplified_model_malibu,-6702.29725696039
simplified_model_fit,-6752.16660426957
simplified_model_passat,-6758.807938184562
simplified_model_crown,-6805.3432998755925
simplified_model_sonata,-6926.620854442756
simplified_model_jetta,-7036.792697969648
simplified_model_altima,-7052.943687577328
simplified_model_sportage,-7085.324850080539
simplified_model_kona,-7220.419962472927
simplified_model_juke,-7231.764625994236
simplified_model_rogue,-7267.517298228859
simplified_model_fusion,-7332.279094930476
simplified_model_compass,-7485.606372309283
simplified_model_optima,-7515.374651628192
simplified_model_encore,-7617.1333797476045
simplified_model_focus,-7662.921821178984
simplified_model_yaris,-7829.4803525166835
simplified_model_fiat,-7830.718629520309
simplified_model_captiva,-7842.312616811195
simplified_model_dart,-8038.004089222348
simplified_model_verano,-8081.057110830333
simplified_model_c-max,-8249.639252982157
simplified_model_veloster,-8256.693289681632
simplified_model_outlander,-8260.620612195098
simplified_model_renegade,-8270.242310467705
simplified_model_avenger,-8435.245955254164
simplified_model_elantra,-8517.677325008497
simplified_model_journey,-8683.147883019044
