,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
110756,900,1999.0,Not Specified,4.0,149000.0,missing,automatic,4wd,Not Specified,fl,outback
111711,2500,1951.0,good,8.0,89000.0,missing,manual,rwd,sedan,fl,ford
112355,3000,2003.0,good,4.0,116000.0,missing,automatic,Not Specified,SUV,fl,escape
112781,500,2008.0,Not Specified,4.0,109099.0,missing,automatic,Not Specified,Not Specified,fl,accord
114081,119,2017.0,excellent,4.0,79825.0,missing,other,Not Specified,sedan,fl,versa
114154,123,2016.0,excellent,4.0,53406.0,missing,automatic,Not Specified,sedan,fl,hyundai
114730,750,2002.0,fair,4.0,184000.0,missing,manual,rwd,hatchback,fl,dodge
115328,141,2015.0,excellent,4.0,87021.0,missing,automatic,Not Specified,sedan,fl,corolla
115331,138,2017.0,excellent,4.0,91729.0,missing,other,Not Specified,sedan,fl,toyota
115333,141,2015.0,excellent,4.0,76862.0,missing,automatic,Not Specified,sedan,fl,200
115482,8000,1968.0,fair,8.0,1111111.0,missing,automatic,rwd,Not Specified,fl,chevrolet
115621,500,1959.0,Not Specified,6.0,1000000.0,missing,automatic,Not Specified,Not Specified,fl,ford
115702,133,2018.0,excellent,4.0,67858.0,missing,other,Not Specified,sedan,fl,versa
115703,114,2016.0,excellent,4.0,108460.0,missing,automatic,Not Specified,hatchback,fl,toyota
120722,300,1990.0,salvage,6.0,100000.0,missing,other,Not Specified,Not Specified,ga,buick
121099,350,1968.0,good,8.0,100000.0,missing,automatic,rwd,coupe,ga,dodge
121710,600,2000.0,salvage,4.0,210000.0,missing,automatic,fwd,coupe,ga,accord
122128,10497,1974.0,good,4.0,71000.0,missing,manual,rwd,convertible,ga,volkswagen
122304,7500,1982.0,good,4.0,148000.0,missing,manual,fwd,pickup,ga,volkswagen
122647,2000,1986.0,fair,6.0,100.0,missing,automatic,fwd,sedan,ga,pontiac
123368,24000,1962.0,excellent,6.0,111000.0,missing,manual,rwd,pickup,ga,ford
124240,875,1984.0,Not Specified,8.0,100000.0,missing,other,Not Specified,Not Specified,ga,chevrolet
124732,3500,1987.0,good,8.0,65000.0,missing,automatic,rwd,hatchback,ga,camaro
124812,8900,1980.0,fair,8.0,117690.0,missing,automatic,rwd,convertible,ga,mercedes-benz
125919,4000,1997.0,good,8.0,360000.0,missing,automatic,rwd,SUV,ga,tahoe
126173,12500,1983.0,good,8.0,50500.0,missing,automatic,fwd,truck,ga,silverado
127249,1000,2012.0,fair,6.0,58100.0,missing,automatic,fwd,sedan,ga,challenger
127434,2500,1983.0,fair,8.0,180000.0,missing,automatic,rwd,pickup,ga,sierra
130422,650,1990.0,salvage,6.0,284000.0,missing,manual,Not Specified,Not Specified,hi,ranger
131453,1200,1967.0,Not Specified,4.0,111111.0,missing,manual,Not Specified,Not Specified,id,volkswagen
135352,500,2000.0,Not Specified,5.0,185000.0,missing,automatic,Not Specified,Not Specified,id,volvo
135493,3000,1977.0,good,4.0,123456.0,missing,manual,rwd,coupe,id,toyota
142631,4000,1996.0,fair,8.0,180000.0,missing,automatic,rwd,Not Specified,il,f350
143328,400,2002.0,fair,6.0,220000.0,missing,automatic,fwd,Not Specified,il,impala
144431,7800,2008.0,good,8.0,260000.0,missing,automatic,4wd,SUV,il,tahoe
144549,450,2003.0,salvage,8.0,126651.0,missing,automatic,4wd,truck,il,dodge
146933,1500,2013.0,salvage,4.0,115000.0,missing,automatic,Not Specified,wagon,il,jetta
147909,4000,1924.0,good,4.0,100.0,missing,manual,rwd,truck,il,ford
148195,800,2015.0,good,4.0,90000.0,missing,automatic,Not Specified,sedan,il,200
148281,4500,1954.0,fair,8.0,60000.0,missing,automatic,fwd,sedan,il,pontiac
149781,5300,1984.0,fair,8.0,121000.0,missing,automatic,4wd,Not Specified,il,ford
151154,15000,1965.0,fair,6.0,1.0,missing,automatic,Not Specified,Not Specified,in,impala
152234,700,2003.0,fair,6.0,177000.0,missing,automatic,4wd,SUV,in,chevrolet
154860,1200,1999.0,Not Specified,6.0,182000.0,missing,automatic,Not Specified,Not Specified,in,explorer
156808,2000,2006.0,Not Specified,8.0,142000.0,missing,automatic,Not Specified,Not Specified,ia,cadillac
157084,4500,1954.0,fair,8.0,60000.0,missing,automatic,fwd,sedan,ia,pontiac
158266,1500,2002.0,fair,6.0,122000.0,missing,automatic,Not Specified,SUV,ia,chevrolet
159807,1700,2003.0,good,4.0,53000.0,missing,automatic,Not Specified,wagon,ia,focus
160339,1500,1990.0,excellent,8.0,119300.0,missing,automatic,rwd,pickup,ia,chevrolet
165526,4000,2015.0,fair,4.0,80000.0,missing,automatic,fwd,Not Specified,ks,forte
165768,4500,1954.0,good,8.0,60000.0,missing,automatic,fwd,sedan,ks,pontiac
168271,4500,1953.0,good,5.0,44.0,missing,manual,Not Specified,Not Specified,ks,jeep
168548,4500,1953.0,good,5.0,44.0,missing,manual,Not Specified,Not Specified,ks,jeep
169362,1000,2005.0,Not Specified,8.0,145242.0,missing,automatic,Not Specified,Not Specified,ks,f150
170043,300,2000.0,fair,4.0,180000.0,missing,automatic,Not Specified,sedan,ks,passat
170987,550,1985.0,Not Specified,8.0,48000.0,missing,automatic,Not Specified,Not Specified,ky,ford
172413,3000,1976.0,Not Specified,6.0,55677.0,missing,automatic,Not Specified,Not Specified,ky,datsun
172561,1000,1971.0,Not Specified,6.0,222222.0,missing,manual,Not Specified,Not Specified,ky,jeep
173149,500,1996.0,Not Specified,6.0,258000.0,missing,manual,Not Specified,Not Specified,ky,ranger
173155,1500,1966.0,salvage,6.0,80000.0,missing,automatic,rwd,coupe,ky,mustang
173293,2300,2008.0,good,6.0,180000.0,missing,manual,fwd,other,ky,grand
175058,27500,1930.0,good,4.0,46723.0,missing,manual,rwd,coupe,la,ford
175218,4500,2013.0,like new,6.0,226000.0,missing,automatic,Not Specified,Not Specified,la,highlander
176966,6500,2011.0,good,8.0,127000.0,missing,automatic,Not Specified,Not Specified,la,camaro
177598,1900,1997.0,good,5.0,56000.0,missing,manual,fwd,Not Specified,la,buick
177791,6500,1926.0,excellent,8.0,1000.0,missing,automatic,rwd,Not Specified,me,ford
177819,5500,1991.0,good,6.0,150000.0,missing,manual,4wd,pickup,me,toyota
177996,16000,1973.0,excellent,8.0,1000000.0,missing,automatic,rwd,Not Specified,me,corvette
177998,14000,1957.0,good,8.0,33000.0,missing,automatic,rwd,sedan,me,ford
178038,3000,1987.0,good,4.0,148000.0,missing,manual,4wd,truck,me,toyota
178139,7000,1985.0,good,8.0,85134.0,missing,automatic,rwd,other,me,corvette
178854,24000,1971.0,excellent,4.0,90000.0,missing,manual,rwd,coupe,me,volvo
178961,1800,2004.0,Not Specified,6.0,330111.0,missing,manual,Not Specified,Not Specified,me,ford
179677,7000,1985.0,good,8.0,85134.0,missing,automatic,rwd,other,me,corvette
180014,18900,1963.0,excellent,6.0,76000.0,missing,automatic,rwd,convertible,me,chevrolet
180165,6445,1929.0,fair,4.0,1223.0,missing,manual,rwd,Not Specified,me,ford
180183,400,1989.0,Not Specified,6.0,23063.0,missing,automatic,rwd,Not Specified,me,ranger
180195,2000,1964.0,Not Specified,8.0,10000.0,missing,automatic,Not Specified,coupe,me,ford
180331,8500,1966.0,good,8.0,11061.0,missing,automatic,4wd,truck,me,chevrolet
180343,45000,1955.0,excellent,8.0,90000.0,missing,automatic,rwd,convertible,me,ford
180344,15500,1969.0,good,8.0,99999.0,missing,automatic,rwd,wagon,me,pontiac
180491,1995,1990.0,Not Specified,4.0,260000.0,missing,automatic,Not Specified,Not Specified,me,volvo
181171,38000,1991.0,Not Specified,8.0,100.0,missing,automatic,Not Specified,Not Specified,md,mustang
181542,200,1995.0,Not Specified,4.0,64000.0,missing,automatic,fwd,Not Specified,md,dodge
181669,1900,1994.0,fair,8.0,54000.0,missing,automatic,Not Specified,mini-van,md,ford
182686,25000,1966.0,new,8.0,10.0,missing,automatic,Not Specified,offroad,md,chevrolet
184165,6800,1972.0,Not Specified,8.0,75000.0,missing,automatic,Not Specified,Not Specified,md,chevrolet
186672,37500,1934.0,Not Specified,8.0,5600.0,missing,automatic,Not Specified,Not Specified,ma,ford
188576,2700,1968.0,Not Specified,6.0,500.0,missing,manual,4wd,truck,ma,jeep
